754,739,774,956,925,908,942,847,593,497,697,656,624,658,687,736,702,1051,1320,1197,1197,1268,1265,1216,1131,983,966,828,414,309,376,341,345,362,312,540,624,727,1002,852
583,456,414,536,587,706,941,1035,809,833,1310,1760,1220,988,918,776,614,696,860,953,783,621,651,615,616,626,897,828,376,246,291,278,257,266,293,396,490,523,669,632
701,688,431,393,320,451,660,960,1033,980,1631,2392,1753,797,582,381,322,340,381,385,234,193,199,195,252,323,560,672,350,227,315,408,347,293,256,297,404,422,576,761
935,726,390,260,255,358,537,948,920,891,1341,1519,1437,769,442,147,222,309,300,207,168,110,93,60,59,79,202,294,169,163,336,587,515,388,407,341,449,531,935,1152
690,422,310,218,195,320,603,908,556,412,380,433,470,407,178,98,111,262,277,162,148,91,53,26,8,11,44,82,90,176,422,754,754,637,664,513,631,742,1255,1123
466,224,150,116,112,226,451,512,287,178,205,211,102,101,98,105,98,114,163,110,88,58,36,26,8,10,39,77,89,147,362,523,560,555,417,394,453,498,776,702
123,70,55,105,113,138,191,211,165,81,73,71,61,75,83,84,89,73,65,76,50,43,33,42,20,22,48,73,42,107,183,239,249,147,136,152,152,141,168,295
73,53,44,109,127,137,183,228,283,240,102,59,68,145,163,68,58,55,46,40,41,28,25,67,73,77,74,75,59,69,49,55,73,92,127,122,92,84,86,104
87,59,47,98,126,128,162,253,527,438,240,71,58,78,149,61,44,44,47,40,37,51,58,133,148,153,116,89,87,91,89,53,64,95,122,92,61,59,73,81
247,239,162,166,278,282,350,574,915,1083,413,105,75,73,87,67,57,57,77,90,140,125,119,131,118,133,162,138,142,142,145,83,92,113,117,81,53,52,64,108
267,419,398,494,613,683,930,1121,1640,2057,1330,453,171,113,117,122,113,136,391,457,343,263,231,179,143,158,223,199,159,168,222,152,158,158,132,95,62,55,68,191
254,415,578,719,959,1100,1167,1317,1581,1516,1281,692,559,199,174,194,219,263,803,803,272,189,152,104,81,92,270,285,257,256,147,158,166,144,113,95,73,61,63,165
159,274,466,765,1218,1397,938,577,559,452,538,607,661,328,281,324,324,270,350,350,251,247,221,132,105,133,332,381,407,393,164,132,117,92,75,75,73,69,65,127
132,184,336,649,1077,1078,580,257,166,97,187,391,374,1016,1143,1143,934,351,251,281,244,543,519,193,171,349,407,453,529,529,376,131,92,69,58,62,75,79,71,127
95,150,197,444,775,591,295,124,82,32,61,165,350,1230,1715,1715,1391,803,351,629,564,860,834,443,343,381,394,498,508,470,305,107,77,59,49,52,61,64,57,102
44,105,114,204,274,262,196,116,90,43,75,184,348,600,1372,1743,1537,1168,857,1192,1310,1739,1563,881,351,300,443,816,586,367,111,77,77,64,50,45,56,53,41,33
122,150,119,118,189,199,122,101,55,61,122,247,350,417,538,686,1543,1524,1753,1858,1648,1611,1132,683,385,289,631,916,769,318,83,59,67,65,50,50,132,155,118,56
263,234,186,148,158,170,147,153,155,215,367,569,701,843,972,1252,1886,2923,2974,2070,1393,1000,611,483,363,431,847,977,587,267,149,55,50,53,45,50,168,228,233,215
614,551,490,458,489,458,253,207,178,213,337,470,577,699,878,1080,1531,2859,3117,2493,1393,815,649,770,838,870,977,865,531,311,187,59,49,50,48,76,243,360,360,393
1028,871,815,981,1282,1076,683,476,263,168,263,355,423,476,543,737,908,1658,1907,1603,1375,975,906,1293,1393,1196,978,644,350,166,187,99,90,92,111,295,464,823,831,809
1375,975,906,1293,1393,1196,978,644,350,166,187,99,90,92,111,295,464,823,831,809,1028,871,815,981,1282,1076,683,476,263,168,263,355,423,476,543,737,908,1658,1907,1603
1393,815,649,770,838,870,977,865,531,311,187,59,49,50,48,76,243,360,360,393,614,551,490,458,489,458,253,207,178,213,337,470,577,699,878,1080,1531,2859,3117,2493
1393,1000,611,483,363,431,847,977,587,267,149,55,50,53,45,50,168,228,233,215,263,234,186,148,158,170,147,153,155,215,367,569,701,843,972,1252,1886,2923,2974,2070
1648,1611,1132,683,385,289,631,916,769,318,83,59,67,65,50,50,132,155,118,56,122,150,119,118,189,199,122,101,55,61,122,247,350,417,538,686,1543,1524,1753,1858
1310,1739,1563,881,351,300,443,816,586,367,111,77,77,64,50,45,56,53,41,33,44,105,114,204,274,262,196,116,90,43,75,184,348,600,1372,1743,1537,1168,857,1192
564,860,834,443,343,381,394,498,508,470,305,107,77,59,49,52,61,64,57,102,95,150,197,444,775,591,295,124,82,32,61,165,350,1230,1715,1715,1391,803,351,629
244,543,519,193,171,349,407,453,529,529,376,131,92,69,58,62,75,79,71,127,132,184,336,649,1077,1078,580,257,166,97,187,391,374,1016,1143,1143,934,351,251,281
251,247,221,132,105,133,332,381,407,393,164,132,117,92,75,75,73,69,65,127,159,274,466,765,1218,1397,938,577,559,452,538,607,661,328,281,324,324,270,350,350
272,189,152,104,81,92,270,285,257,256,147,158,166,144,113,95,73,61,63,165,254,415,578,719,959,1100,1167,1317,1581,1516,1281,692,559,199,174,194,219,263,803,803
343,263,231,179,143,158,223,199,159,168,222,152,158,158,132,95,62,55,68,191,267,419,398,494,613,683,930,1121,1640,2057,1330,453,171,113,117,122,113,136,391,457
140,125,119,131,118,133,162,138,142,142,145,83,92,113,117,81,53,52,64,108,247,239,162,166,278,282,350,574,915,1083,413,105,75,73,87,67,57,57,77,90
37,51,58,133,148,153,116,89,87,91,89,53,64,95,122,92,61,59,73,81,87,59,47,98,126,128,162,253,527,438,240,71,58,78,149,61,44,44,47,40
41,28,25,67,73,77,74,75,59,69,49,55,73,92,127,122,92,84,86,104,73,53,44,109,127,137,183,228,283,240,102,59,68,145,163,68,58,55,46,40
50,43,33,42,20,22,48,73,42,107,183,239,249,147,136,152,152,141,168,295,123,70,55,105,113,138,191,211,165,81,73,71,61,75,83,84,89,73,65,76
88,58,36,26,8,10,39,77,89,147,362,523,560,555,417,394,453,498,776,702,466,224,150,116,112,226,451,512,287,178,205,211,102,101,98,105,98,114,163,110
148,91,53,26,8,11,44,82,90,176,422,754,754,637,664,513,631,742,1255,1123,690,422,310,218,195,320,603,908,556,412,380,433,470,407,178,98,111,262,277,162
168,110,93,60,59,79,202,294,169,163,336,587,515,388,407,341,449,531,935,1152,935,726,390,260,255,358,537,948,920,891,1341,1519,1437,769,442,147,222,309,300,207
234,193,199,195,252,323,560,672,350,227,315,408,347,293,256,297,404,422,576,761,701,688,431,393,320,451,660,960,1033,980,1631,2392,1753,797,582,381,322,340,381,385
783,621,651,615,616,626,897,828,376,246,291,278,257,266,293,396,490,523,669,632,583,456,414,536,587,706,941,1035,809,833,1310,1760,1220,988,918,776,614,696,860,953
1197,1268,1265,1216,1131,983,966,828,414,309,376,341,345,362,312,540,624,727,1002,852,754,739,774,956,925,908,942,847,593,497,697,656,624,658,687,736,702,1051,1320,1197
